date,trend_name,growth_score,seed_term
2026-02-19,jpg le male eau de toilette,40,eau de toilette
2026-02-21,how long does eau de toilette last,40,eau de toilette
2026-02-25,jpg le beau le parfum,40,Parfum
2026-02-17,jimmy choo man eau de toilette,40,eau de toilette
2026-02-16,ulta,40,Cologne
2026-02-23,cologne cathedral,40,Cologne
2026-02-23,god of fire cologne,40,Cologne
2026-02-18,arvella fragrance,40,Fragrance
2026-02-21,burberry hero eau de toilette,40,eau de toilette
2026-02-20,game of spades cologne,40,Cologne
2026-02-25,whats the difference between eau de toilette and eau de parfum,40,eau de toilette
2026-02-25,eau de toilette in english,40,eau de toilette
2026-02-26,eau de toilette translation,40,eau de toilette
2026-02-26,arvella fragrance,40,Fragrance
2026-02-24,eau de toilette in english,40,eau de toilette
2026-02-24,l occitane eau de toilette,40,eau de toilette
2026-03-01,miu miu perfume,40,Perfume
2026-02-27,gucci guilty pour homme eau de toilette,40,eau de toilette
2026-02-27,armani code eau de toilette,40,eau de toilette
2026-03-01,narciso rodriguez for her eau de toilette,40,eau de toilette
